conID,tstID,poiID,x,y
0,0,0,5.05,0.39
0,0,1,5.04,-0.37
0,0,2,0.38,24.72
0,1,0,1.48,16.48
0,1,1,5.03,0.75
0,1,2,0.61,24.25
0,2,0,-0.34,23.76
0,2,1,4.95,0.71
0,2,2,0.67,24.02
1,0,0,4.89,0.46
1,0,1,5.04,-0.22
1,0,2,0.4,24.6
1,1,0,2.26,16.07
1,1,1,5.08,0.79
1,1,2,0.63,23.8
1,2,0,1.26,24.05
1,2,1,5.02,0.45
1,2,2,0.29,23.9
2,0,0,5.06,0.47
2,0,1,5.12,-0.29
2,0,2,0.29,26.62
2,1,0,3.74,18.41
2,1,1,5.05,0.56
2,1,2,0.52,26.31
2,2,0,3.01,26.51
2,2,1,4.86,1.04
2,2,2,1.44,26.4
3,0,0,5.08,0.34
3,0,1,5.01,-0.18
3,0,2,0.31,26.21
3,1,0,3.69,17.22
3,1,1,5.11,0.68
3,1,2,0.33,26.03
3,2,0,2.63,26.13
3,2,1,4.8,1.01
3,2,2,1.22,25.54
4,0,0,4.83,0.61
4,0,1,5.12,-0.42
4,0,2,0.48,25.11
4,1,0,1.01,15.95
4,1,1,5.04,1.06
4,1,2,0.47,24.64
4,2,0,-1.01,24.96
4,2,1,4.84,0.78
4,2,2,-0.24,24.62
5,0,0,5.0,0.72
5,0,1,5.04,-0.09
5,0,2,0.22,26.7
5,1,0,0.8,16.64
5,1,1,4.89,1.04
5,1,2,0.09,26.58
5,2,0,-2.24,26.0
5,2,1,4.51,2.17
5,2,2,-0.64,26.11
6,0,0,4.89,0.44
6,0,1,4.99,-0.29
6,0,2,0.25,26.19
6,1,0,3.63,17.88
6,1,1,4.88,0.53
6,1,2,0.37,25.74
6,2,0,2.66,25.8
6,2,1,4.69,0.78
6,2,2,1.2,25.64
7,0,0,4.95,0.63
7,0,1,4.98,-0.28
7,0,2,0.18,26.46
7,1,0,0.43,17.12
7,1,1,5.0,0.79
7,1,2,-0.03,25.85
7,2,0,-2.38,25.46
7,2,1,4.86,0.92
7,2,2,-1.08,25.45
8,0,0,4.94,0.72
8,0,1,5.07,-0.36
8,0,2,0.38,25.26
8,1,0,3.38,18.18
8,1,1,4.99,0.75
8,1,2,1.07,23.87
8,2,0,2.64,24.19
8,2,1,4.77,0.73
8,2,2,1.62,24.03
9,0,0,4.95,0.65
9,0,1,5.01,-0.24
9,0,2,0.36,26.12
9,1,0,3.63,16.56
9,1,1,4.89,0.51
9,1,2,0.56,26.01
9,2,0,2.72,26.01
9,2,1,4.78,0.84
9,2,2,1.32,25.97
10,0,0,5.06,0.42
10,0,1,5.09,-0.35
10,0,2,0.44,26.73
10,1,0,3.19,17.7
10,1,1,5.07,0.65
10,1,2,0.65,26.17
10,2,0,2.12,25.63
10,2,1,4.84,1.11
10,2,2,1.1,25.99
11,0,0,5.02,0.83
11,0,1,5.09,-0.06
11,0,2,0.31,25.09
11,1,0,0.04,17.16
11,1,1,5.07,0.98
11,1,2,0.32,24.51
11,2,0,-2.19,24.03
11,2,1,5.02,0.92
11,2,2,-0.7,24.12
12,0,0,4.97,0.59
12,0,1,5.12,-0.2
12,0,2,0.49,25.38
12,1,0,3.93,16.94
12,1,1,5.02,0.96
12,1,2,0.93,24.67
12,2,0,3.34,24.64
12,2,1,4.72,0.83
12,2,2,2.3,24.94
13,0,0,4.93,0.49
13,0,1,4.96,-0.26
13,0,2,0.28,27.02
13,1,0,0.14,17.4
13,1,1,4.87,0.68
13,1,2,0.17,26.29
13,2,0,-2.76,25.98
13,2,1,4.8,0.77
13,2,2,-1.2,25.96
14,0,0,5.06,0.54
14,0,1,5.08,-0.12
14,0,2,0.65,24.95
14,1,0,0.52,17.63
14,1,1,4.99,0.81
14,1,2,0.73,24.33
14,2,0,-1.53,24.61
14,2,1,5.03,0.66
14,2,2,0.01,24.44
15,0,0,5.02,0.37
15,0,1,4.99,-0.21
15,0,2,0.22,27.05
15,1,0,0.81,17.32
15,1,1,4.95,0.81
15,1,2,0.12,26.27
15,2,0,-2.01,25.24
15,2,1,4.93,0.64
15,2,2,-0.84,25.88
16,0,0,5.04,-0.14
16,0,1,3.92,-0.04
16,0,2,0.41,25.71
16,1,0,7.0,21.0
16,1,1,3.7,0.23
16,1,2,4.14,26.78
16,2,0,7.72,27.69
16,2,1,3.32,-0.28
16,2,2,6.92,27.55
17,0,0,4.91,0.47
17,0,1,5.05,-0.29
17,0,2,0.31,26.77
17,1,0,0.83,17.18
17,1,1,5.07,0.68
17,1,2,0.37,25.76
17,2,0,-1.53,25.35
17,2,1,5.01,0.87
17,2,2,-0.5,25.49
18,0,0,5.3,-0.25
18,0,1,4.23,-0.39
18,0,2,0.58,25.64
18,1,0,1.81,20.03
18,1,1,4.35,-0.25
18,1,2,1.81,25.98
18,2,0,0.72,26.14
18,2,1,4.41,-0.91
18,2,2,1.81,25.92
19,0,0,5.09,0.61
19,0,1,5.14,-0.2
19,0,2,0.53,25.48
19,1,0,3.24,17.29
19,1,1,4.9,0.49
19,1,2,1.36,24.66
19,2,0,2.71,24.84
19,2,1,4.67,0.26
19,2,2,1.87,24.61
20,0,0,1.97,-0.74
20,0,1,3.13,-1.62
20,0,2,3.79,25.02
20,1,0,0.58,19.23
20,1,1,2.93,-1.68
20,1,2,3.06,25.8
20,2,0,-0.05,25.99
20,2,1,3.63,-1.45
20,2,2,1.21,25.32
21,0,0,5.0,0.73
